Season,Date,Location,Opponent,Result,IlliniScore,OpponentScore,Note1,Note2,Note3,WinStreak
2012,13-Oct,@,Michigan,L,0,45,,,,0
2012,27-Oct,vs.,Indiana,L,17,31,,,,2
2012,3-Nov,@,Ohio State,L,22,52,,,,0
2012,10-Nov,vs.,Minnesota,L,3,17,,,,0
2012,17-Nov,vs.,Purdue,L,17,20,,,,0
2012,24-Nov,@,Northwestern,L,14,50,,,,2
2011,3-Sep,vs.,Arkansas State,W,33,15,,,,0
2011,10-Sep,vs.,South Dakota State,W,56,3,,,,0
2011,17-Sep,vs.,Arizona State,W,17,14,,,,0
2011,24-Sep,vs.,Western Michigan,W,23,20,,,,0
2011,1-Oct,vs.,Northwestern,W,38,35,,,,1
2011,8-Oct,@,Indiana,W,41,20,,,,1
2011,15-Oct,vs.,Ohio State,L,7,17,,,,0
2011,22-Oct,@,Purdue,L,14,21,,,,1
2011,29-Oct,@,Penn State,L,7,10,,,,1
2011,12-Nov,vs.,Michigan,L,14,31,,,,0
2011,19-Nov,vs.,Wisconsin,L,17,28,,,,0
2011,26-Nov,@,Minnesota,L,7,27,,,,0
2011,31-Dec,vs.,UCLA,W,20,14,@ San Francisco, CA,Fight Hunger Bowl,0
2010,4-Sep,vs.,Missouri,L,13,23,@ St. Louis, MO,,0
2010,11-Sep,vs.,Southern Illinois,W,35,3,,,,0
2010,18-Sep,vs.,Northern Illinois,W,28,22,,,,0
2010,2-Oct,vs.,Ohio State,L,13,24,,,,0
2010,9-Oct,@,Penn State,W,33,13,,,,0
2010,16-Oct,@,Michigan State,L,6,26,,,,0
2010,23-Oct,vs.,Indiana,W,43,13,,,,0
2010,30-Oct,vs.,Purdue,W,44,10,,,,0
2010,6-Nov,@,Michigan,L,65,67,,,,2
2010,13-Nov,vs.,Minnesota,L,34,38,,,,1
2010,20-Nov,vs.,Northwestern,W,48,27,@ Chicago, IL,,0
2010,3-Dec,@,Fresno State,L,23,25,,,,0
2010,29-Dec,vs.,Baylor,W,38,14,@ Houston, TX,Texas Bowl,0
2009,5-Sep,vs.,Missouri,L,9,37,@ St. Louis, MO,,0
2009,12-Sep,vs.,Illinois State,W,45,17,,,,0
2009,26-Sep,@,Ohio State,L,0,30,,,,0
2009,3-Oct,vs.,Penn State,L,17,35,,,,0
2009,10-Oct,vs.,Michigan State,L,14,24,,,,0
2009,17-Oct,@,Indiana,L,14,27,,,,2
2009,24-Oct,@,Purdue,L,14,24,,,,0
2009,31-Oct,vs.,Michigan,W,38,13,,,,1
2009,7-Nov,@,Minnesota,W,35,32,,,,0
2009,14-Nov,vs.,Northwestern,L,16,21,,,,0
2009,27-Nov,@,Cincinnati,L,36,49,,,,0
2009,5-Dec,vs.,Fresno State,L,52,53,,,,0
2008,30-Aug,vs.,Missouri,L,42,52,@ St. Louis, MO,,0
2008,6-Sep,vs.,Eastern Illinois,W,47,21,,,,0
2008,13-Sep,vs.,Louisiana-Lafayette,W,20,17,,,,0
2008,27-Sep,@,Penn State,L,24,38,,,,1
2008,4-Oct,@,Michigan,W,45,20,,,,0
2008,11-Oct,vs.,Minnesota,L,20,27,,,,1
2008,18-Oct,vs.,Indiana,W,55,13,,,,1
2008,25-Oct,@,Wisconsin,L,17,27,,,,1
2008,1-Nov,vs.,Iowa,W,27,24,,,,0
2008,8-Nov,vs.,Western Michigan,L,17,23,@ Detroit, MI,,0
2008,15-Nov,vs.,Ohio State,L,20,30,,,,1
2008,22-Nov,@,Northwestern,L,10,27,,,,1
2007,1-Jan,vs.,Southern California,L,17,49,@ Pasadena, CA,Rose Bowl,0
2007,1-Sep,vs.,Missouri,L,34,40,@ St. Louis, MO,,0
2007,8-Sep,vs.,Western Illinois,W,21,0,,,,0
2007,15-Sep,@,Syracuse,W,41,20,,,,0
2007,22-Sep,@,Indiana,W,27,14,,,,0
2007,29-Sep,vs.,Penn State,W,27,20,,,,0
2007,6-Oct,vs.,Wisconsin,W,31,26,,,,0
2007,13-Oct,@,Iowa,L,6,10,,,,0
2007,20-Oct,vs.,Michigan,L,17,27,,,,0
2007,27-Oct,vs.,Ball State,W,28,17,,,,0
2007,3-Nov,@,Minnesota,W,44,17,,,,0
2007,10-Nov,@,Ohio State,W,28,21,,,,0
2007,17-Nov,vs.,Northwestern,W,41,22,,,,0
2006,2-Sep,vs.,Eastern Illinois,W,42,17,,,,0
2006,9-Sep,@,Rutgers,L,0,33,,,,1
2006,16-Sep,vs.,Syracuse,L,21,31,,,,0
2006,23-Sep,vs.,Iowa,L,7,24,,,,0
2006,30-Sep,@,Michigan State,W,23,20,,,,0
2006,7-Oct,vs.,Indiana,L,32,34,,,,0
2006,14-Oct,vs.,Ohio,L,17,20,,,,0
2006,21-Oct,@,Penn State,L,12,26,,,,0
2006,28-Oct,@,Wisconsin,L,24,30,,,,0
2006,4-Nov,vs.,Ohio State,L,10,17,,,,0
2006,11-Nov,vs.,Purdue,L,31,42,,,,0
2006,18-Nov,@,Northwestern,L,16,27,,,,0
2005,3-Sep,vs.,Rutgers,W,33,30,,,,0
2005,10-Sep,vs.,San Jose State,W,40,19,,,,0
2005,17-Sep,@,California,L,20,35,,,,0
2005,24-Sep,vs.,Michigan State,L,14,61,,,,0
2005,1-Oct,@,Iowa,L,7,35,,,,0
2005,8-Oct,@,Indiana,L,13,36,,,,1
2005,22-Oct,vs.,Penn State,L,10,63,,,,0
2005,29-Oct,vs.,Wisconsin,L,24,41,,,,0
2005,5-Nov,@,Ohio State,L,2,40,,,,0
2005,12-Nov,@,Purdue,L,3,37,,,,0
2005,19-Nov,vs.,Northwestern,L,21,38,,,,0
2004,4-Sep,vs.,Florida A&M,W,52,13,,,,0
2004,11-Sep,vs.,UCLA,L,17,35,,,,0
2004,18-Sep,vs.,Western Michigan,W,30,27,,,,0
2004,25-Sep,vs.,Purdue,L,30,38,,,,0
2004,2-Oct,@,Wisconsin,L,7,24,,,,0
2004,9-Oct,@,Michigan State,L,25,38,,,,0
2004,16-Oct,vs.,Michigan,L,19,30,,,,0
2004,23-Oct,@,Minnesota,L,0,45,,,,0
2004,30-Oct,vs.,Iowa,L,13,23,,,,0
2004,6-Nov,vs.,Indiana,W,26,22,,,,0
2004,20-Nov,@,Northwestern,L,21,28,,,,0
2003,30-Aug,vs.,Missouri,L,15,22,@ St. Louis, MO,,0
2003,6-Sep,vs.,Illinois State,W,49,22,,,,0
2003,13-Sep,@,UCLA,L,3,6,,,,0
2003,20-Sep,vs.,California,L,24,31,,,,0
